Year,Season,Winning team,Coach,Losing team,Coach,Games,Winning goal
1927,1926-27,Ottawa Senators (C),Dave Gill,Boston Bruins (A),Art Ross,2–0–2,"Cy Denneny (7:30, second)"
1928,1927-28,New York Rangers (A),Lester Patrick-playing,Montreal Maroons (C),Eddie Gerard,3–2,"Frank Boucher (3:35, third)"
1929,1928-29,Boston Bruins (A),Cy Denneny-playing,New York Rangers (A),Lester Patrick,2–0,"Bill Carson (18:02, third)"
1930,1929-30,Montreal Canadiens (C),Cecil Hart,Boston Bruins (A),Art Ross,2–0,"Howie Morenz (1:00, second)"
1931,1930-31,Montreal Canadiens (C),Cecil Hart,Chicago Black Hawks (A),Dick Irvin,3–2,"Johnny Gagnon (9:59, second)"
1932,1931-32,Toronto Maple Leafs (C),Dick Irvin,New York Rangers (A),Lester Patrick,3–0,"Ace Bailey (15:07, third)"
1933,1932-33,New York Rangers (A),Lester Patrick,Toronto Maple Leafs (C),Dick Irvin,3–1,"Bill Cook (7:34, OT)"
1934,1933-34,Chicago Black Hawks (A),Tommy Gorman,Detroit Red Wings (A),Jack Adams,3–1,"Mush March (10:05, second OT)"
1935,1934-35,Montreal Maroons (C),Tommy Gorman,Toronto Maple Leafs (C),Dick Irvin,3–0,"Baldy Northcott (16:18, second)"
1936,1935-36,Detroit Red Wings (A),Jack Adams,Toronto Maple Leafs (C),Dick Irvin,3–1,"Pete Kelly (9:45, third)"
1937,1936-37,Detroit Red Wings (A),Jack Adams,New York Rangers (A),Lester Patrick,3–2,"Marty Barry (19:22, first)"
1938,1937-38,Chicago Black Hawks (A),Bill Stewart,Toronto Maple Leafs (C),Dick Irvin,3–1,"Carl Voss (16:45, second)"
1939,1938-39,Boston Bruins,Art Ross,Toronto Maple Leafs,Dick Irvin,4–1,"Roy Conacher (17:54, second)"
1940,1939-40,New York Rangers,Frank Boucher,Toronto Maple Leafs,Dick Irvin,4–2,"Bryan Hextall (2:07, OT)"
1941,1940-41,Boston Bruins,Cooney Weiland,Detroit Red Wings,Jack Adams,4–0,"Bobby Bauer (8:43, second)"
1942,1941-42,Toronto Maple Leafs,Hap Day,Detroit Red Wings,Jack Adams,4–3,"Pete Langelle (9:48, third)"
1943,1942-43,Detroit Red Wings,Jack Adams,Boston Bruins,Art Ross,4–0,"Joe Carveth (12:09, first)"
1944,1943-44,Montreal Canadiens,Dick Irvin,Chicago Black Hawks,Paul Thompson,4–0,"Toe Blake (9:12, OT)"
1945,1944-45,Toronto Maple Leafs,Hap Day,Detroit Red Wings,Jack Adams,4–3,"Babe Pratt (12:14, third)"
1946,1945-46,Montreal Canadiens,Dick Irvin,Boston Bruins,Dit Clapper,4–1,"Toe Blake (11:06, third)"
1947,1946-47,Toronto Maple Leafs,Hap Day,Montreal Canadiens,Dick Irvin,4–2,"Ted Kennedy (14:39, third)"
1948,1947-48,Toronto Maple Leafs,Hap Day,Detroit Red Wings,Tommy Ivan,4–0,"Harry Watson (11:13, first)"
1949,1948-49,Toronto Maple Leafs,Hap Day,Detroit Red Wings,Tommy Ivan,4–0,"Cal Gardner (19:45, second)"
1950,1949-50,Detroit Red Wings,Tommy Ivan,New York Rangers,Lynn Patrick,4–3,"Pete Babando (8:31, second OT)"
1951,1950-51,Toronto Maple Leafs,Joe Primeau,Montreal Canadiens,Dick Irvin,4–1,"Bill Barilko (2:53, OT)"
1952,1951-52,Detroit Red Wings,Tommy Ivan,Montreal Canadiens,Dick Irvin,4–0,"Metro Prystai (6:50, first)"
1953,1952-53,Montreal Canadiens,Dick Irvin,Boston Bruins,Lynn Patrick,4–1,"Elmer Lach (1:22, OT)"
1954,1953-54,Detroit Red Wings,Tommy Ivan,Montreal Canadiens,Dick Irvin,4–3,"Tony Leswick (4:20, OT)"
1955,1954-55,Detroit Red Wings,Jimmy Skinner,Montreal Canadiens,Dick Irvin,4–3,"Gordie Howe (19:49, second)"
1956,1955-56,Montreal Canadiens,Toe Blake,Detroit Red Wings,Jimmy Skinner,4–1,"Maurice Richard (15:08, second)"
1957,1956-57,Montreal Canadiens,Toe Blake,Boston Bruins,Milt Schmidt,4–1,"Dickie Moore (0:14, second)"
1958,1957-58,Montreal Canadiens,Toe Blake,Boston Bruins,Milt Schmidt,4–2,"Bernie Geoffrion (19:26, second)"
1959,1958-59,Montreal Canadiens,Toe Blake,Toronto Maple Leafs,Punch Imlach,4–1,"Marcel Bonin (9:55, second)"
1960,1959-60,Montreal Canadiens,Toe Blake,Toronto Maple Leafs,Punch Imlach,4–0,"Jean Beliveau (8:16, first)"
1961,1960-61,Chicago Black Hawks,Rudy Pilous,Detroit Red Wings,Sid Abel,4–2,"Ab McDonald (18:49, second)"
1962,1961-62,Toronto Maple Leafs,Punch Imlach,Chicago Black Hawks,Rudy Pilous,4–2,"Dick Duff (14:14, third)"
1963,1962-63,Toronto Maple Leafs,Punch Imlach,Detroit Red Wings,Sid Abel,4–1,"Eddie Shack (13:28, third)"
1964,1963-64,Toronto Maple Leafs,Punch Imlach,Detroit Red Wings,Sid Abel,4–3,"Andy Bathgate (3:04, first)"
1965,1964-65,Montreal Canadiens,Toe Blake,Chicago Black Hawks,Billy Reay,4–3,"Jean Beliveau (0:14, first)"
1966,1965-66,Montreal Canadiens,Toe Blake,Detroit Red Wings,Sid Abel,4–2,"Henri Richard (2:20, OT)"
1967,1966-67,Toronto Maple Leafs,Punch Imlach,Montreal Canadiens,Toe Blake,4–2,"Jim Pappin (19:24, second)"
1968,1967-68,Montreal Canadiens (E),Toe Blake,St. Louis Blues (W),Scotty Bowman,4–0,"J. C. Tremblay (11:40, third)"
1969,1968-69,Montreal Canadiens (E),Claude Ruel,St. Louis Blues (W),Scotty Bowman,4–0,"John Ferguson (3:02, third)"
1970,1969-70,Boston Bruins (E),Harry Sinden,St. Louis Blues (W),Scotty Bowman,4–0,"Bobby Orr (0:40, OT)"
1971,1970-71,Montreal Canadiens (E),Al MacNeil,Chicago Black Hawks (W),Billy Reay,4–3,"Henri Richard (2:34, third)"
1972,1971-72,Boston Bruins (E),Tom Johnson,New York Rangers (E),Emile Francis,4–2,"Bobby Orr (11:18, first)"
1973,1972-73,Montreal Canadiens (E),Scotty Bowman,Chicago Black Hawks (W),Billy Reay,4–2,"Yvan Cournoyer (8:13, third)"
1974,1973-74,Philadelphia Flyers (W),Fred Shero,Boston Bruins (E),Bep Guidolin,4–2,"Rick MacLeish (14:48, first)"
1975,1974-75,Philadelphia Flyers (CC),Fred Shero,Buffalo Sabres (PW),Floyd Smith,4–2,"Bob Kelly (0:11, third)"
1976,1975-76,Montreal Canadiens (PW),Scotty Bowman,Philadelphia Flyers (CC),Fred Shero,4–0,"Guy Lafleur (14:18, third)"
1977,1976-77,Montreal Canadiens (PW),Scotty Bowman,Boston Bruins (PW),Don Cherry,4–0,"Jacques Lemaire (4:32, OT)"
1978,1977-78,Montreal Canadiens (PW),Scotty Bowman,Boston Bruins (PW),Don Cherry,4–2,"Mario Tremblay (9:20, first)"
1979,1978-79,Montreal Canadiens (PW),Scotty Bowman,New York Rangers (CC),Fred Shero,4–1,"Jacques Lemaire (1:02, second)"
1980,1979-80,New York Islanders (CC),Al Arbour,Philadelphia Flyers (CC),Pat Quinn,4–2,"Bob Nystrom (7:11, OT)"
1981,1980-81,New York Islanders (CC),Al Arbour,Minnesota North Stars (PW),Glen Sonmor,4–1,"Wayne Merrick (5:37, first)"
1982,1981-82,New York Islanders (PW),Al Arbour,Vancouver Canucks (CC),Roger Neilson,4–0,"Mike Bossy (5:00, second)"
1983,1982-83,New York Islanders (PW),Al Arbour,Edmonton Oilers (CC),Glen Sather,4–0,"Mike Bossy (12:39, first)"
1984,1983-84,Edmonton Oilers (CC),Glen Sather,New York Islanders (PW),Al Arbour,4–1,"Ken Linseman (0:38, second)"
1985,1984-85,Edmonton Oilers (CC),Glen Sather,Philadelphia Flyers (PW),Mike Keenan,4–1,"Paul Coffey (17:57, first)"
1986,1985-86,Montreal Canadiens (PW),Jean Perron,Calgary Flames (CC),Bob Johnson,4–1,"Bobby Smith (10:30, third)"
1987,1986-87,Edmonton Oilers (CC),Glen Sather,Philadelphia Flyers (PW),Mike Keenan,4–3,"Jari Kurri (14:59, second)"
1988,1987-88,Edmonton Oilers (CC),Glen Sather,Boston Bruins (PW),Terry O'Reilly,4–0,"Wayne Gretzky (9:44, second)"
1989,1988-89,Calgary Flames (CC),Terry Crisp,Montreal Canadiens (PW),Pat Burns,4–2,"Doug Gilmour (11:02, third)"
1990,1989-90,Edmonton Oilers (CC),John Muckler,Boston Bruins (PW),Mike Milbury,4–1,"Craig Simpson (9:31, second)"
1991,1990-91,Pittsburgh Penguins (PW),Bob Johnson,Minnesota North Stars (CC),Bob Gainey,4–2,"Ulf Samuelsson (2:00, first)"
1992,1991-92,Pittsburgh Penguins (PW),Scotty Bowman,Chicago Blackhawks (CC),Mike Keenan,4–0,"Ron Francis (7:59, third)"
1993,1992-93,Montreal Canadiens (PW),Jacques Demers,Los Angeles Kings (CC),Barry Melrose,4–1,"Kirk Muller (3:51, second)"
1994,1993-94,New York Rangers (EC),Mike Keenan,Vancouver Canucks (WC),Pat Quinn,4–3,"Mark Messier (13:29, second)"
1995,1994-95,New Jersey Devils (EC),Jacques Lemaire,Detroit Red Wings (WC),Scotty Bowman,4–0,"Neal Broten (7:56, second)"
1996,1995-96,Colorado Avalanche (WC),Marc Crawford,Florida Panthers (EC),Doug MacLean,4–0,"Uwe Krupp (4:31, third OT)"
1997,1996-97,Detroit Red Wings (WC),Scotty Bowman,Philadelphia Flyers (EC),Terry Murray,4–0,"Darren McCarty (13:02, second)"
1998,1997-98,Detroit Red Wings (WC),Scotty Bowman,Washington Capitals (EC),Ron Wilson,4–0,"Martin Lapointe (2:26, second)"
1999,1998-99,Dallas Stars (WC),Ken Hitchcock,Buffalo Sabres (EC),Lindy Ruff,4–2,"Brett Hull (14:51, third OT)"
2000,1999-00,New Jersey Devils (EC),Larry Robinson,Dallas Stars (WC),Ken Hitchcock,4–2,"Jason Arnott (8:20, second OT)"
2001,2000-01,Colorado Avalanche (WC),Bob Hartley,New Jersey Devils (EC),Larry Robinson,4–3,"Alex Tanguay (4:57, second)"
2002,2001-02,Detroit Red Wings (WC),Scotty Bowman,Carolina Hurricanes (EC),Paul Maurice,4–1,"Brendan Shanahan (14:04, second)"
2003,2002-03,New Jersey Devils (EC),Pat Burns,Mighty Ducks of Anaheim (WC),Mike Babcock,4–3,"Michael Rupp (2:22, second)"
2004,2003-04,Tampa Bay Lightning (EC),John Tortorella,Calgary Flames (WC),Darryl Sutter,4–3,"Ruslan Fedotenko (14:38, second)"
2005,2004-05,Season cancelled due to 2004–05 NHL lockout,,,,,
2006,2005-06,Carolina Hurricanes (EC),Peter Laviolette,Edmonton Oilers (WC),Craig MacTavish,4–3,"Frantisek Kaberle (4:18, second)"
2007,2006-07,Anaheim Ducks (WC),Randy Carlyle,Ottawa Senators (EC),Bryan Murray,4–1,"Travis Moen (15:44, second)"
2008,2007-08,Detroit Red Wings (WC),Mike Babcock,Pittsburgh Penguins (EC),Michel Therrien,4–2,"Henrik Zetterberg (7:36, third)"
2009,2008-09,Pittsburgh Penguins (EC),Dan Bylsma,Detroit Red Wings (WC),Mike Babcock,4–3,"Maxime Talbot (10:07, second)"
2010,2009-10,Chicago Blackhawks (WC),Joel Quenneville,Philadelphia Flyers (EC),Peter Laviolette,4–2,"Patrick Kane (4:06, OT)"
2011,2010-11,Boston Bruins (EC),Claude Julien,Vancouver Canucks (WC),Alain Vigneault,4–3,"Patrice Bergeron (14:37, first)"
2012,2011-12,Los Angeles Kings (WC),Darryl Sutter,New Jersey Devils (EC),Peter DeBoer,4–2,"Jeff Carter (12:45, first)"
2013,2012-13,Chicago Blackhawks (WC),Joel Quenneville,Boston Bruins (EC),Claude Julien,4–2,"Dave Bolland (19:01, third)"
2014,2013-14,Los Angeles Kings (WC),Darryl Sutter,New York Rangers (EC),Alain Vigneault,4–1,"Alec Martinez (14:43, second OT)"
